name_p,code_p,color_p,,Inventory value,Inventory,,,,,,Total orders,total 23,,January,February,March,April,May,June,July,August,September,October,Novermber,December,AV23,multiplier,Minimum stock,purchase_r,,,
sumOf,,,3.37,"645,486",,,,,,,,,,"268,686","227,423","184,330","149,474","207,764","199,481","245,976","194,760","199,534","124,677","131,762","166,572","191,703",,,"2,300,439",,14.11.23,
?????,"??.????
",,"?? ?????
",,,???? ?????? 8.1 ?????,???? 27.12,???? 01.02.,14.11.23 ?????,????? 19.12,,,AV23,1,2,3,4,5,6,7,8,9,10,11,12,AV 23,,,,???? ?????? ???? ????? ???????? ,14.11  $,14.11 NSH
????,15126,w,???? ???? ???? ???? ??? ??,"26,600","1,064",,,,,,0,753,,39,134,69,9,93,108,50,11,61,35,49,95,41,5,206,858,20.83,,
????,15127,b,???? ???? ???? ???? ???? ??,"3,339",477,,,,,,0,241,,18,12,21,8,54,4,40,8,4,11,28,33,18,5,91,386,21.21,,
BRI,15002,w,???? 11W BRI ??? C-light,"6,680",167,,,,,,0,422,,66,43,64,21,26,64,39,10,11,11,36,31,21,5,107,60,2.8,,
BRI,150022,b,???? 11W BRI ???? C-light,"3,720",93,,,,,,0,108,,5,24,26,0,0,5,22,23,-11,4,10,0,10,5,48,45,4.69,,
BRI,150011,b,???? 3.5W BRI ???? C-light,"5,061",206,,,,,,0,169,,5,33,9,3,14,41,31,22,4,2,0,5,12,5,59,147,12.46,,
BRI,15001,w,???? 3.5W BRI ??? C-light,"5,363",218,,100,,,,100,359,,28,115,28,24,9,70,36,10,7,13,13,6,16,5,79,239,15.13,,
BRI,150033,b,???? 17W BRI ???? C-light,"22,700",454,,,,,,0,52,,0,0,0,20,0,0,11,20,0,0,0,1,6,5,31,423,68.23,,
BRI,15003,w,???? 17W BRI ??? C-light,"23,892",362,,,,,,0,116,,29,10,25,33,1,6,11,0,0,0,1,0,2,5,12,350,145.83,,
BRIS,15004,w,???? 10W BRIS ??? C-light,"8,500",425,,,300,200,,500,"1,322",,55,82,171,160,47,143,212,82,153,93,86,38,125,6,751,174,1.39,"$1,634",
BRIS,15006,w,???? 24W BRIS ??? C-light,"2,068",44,,,,,100,100,138,,7,8,3,29,27,1,1,3,33,6,16,4,12,5,59,85,7.2,,
BRIS,150044,b,???? 10W BRIS ???? C-light,"2,520",126,,,,,200,200,257,,88,0,26,0,1,21,48,17,41,5,10,0,24,5,121,205,8.47,,
BRIS,15005,w,???? 16W BRIS ??? C-light,0,0,61,300,0,300,,600,351,,4,56,38,1,11,44,29,31,26,74,37,0,39,5,197,342,8.68,,
BRIS,150055,b,???? 16W BRIS ???? C-light,"4,550",130,,,,,,0,74,,10,1,7,22,1,1,22,5,2,2,1,0,6,5,32,98,15.31,,
BRIS,150066,b,???? 24W BRIS ???? C-light,"4,653",99,,,,,,0,65,,35,16,0,0,1,0,0,0,1,4,8,0,3,5,13,86,33.08,,
Cob magnet,15306,w,White RING magnet,301,94,,,,,,0,42,,8,22,-1,2,4,8,1,0,0,-2,0,0,0,5,-1,95,-475,,
Cob magnet,15303,W,White CONE magnet,"2,988",498,,,,300,,300,922,,71,123,54,87,88,139,90,67,113,25,47,18,68,6,410,388,5.67,"$2,502",
Cob magnet,15304,b,Black CONE magnet,"2,082",347,,,,,,0,375,,23,40,26,7,61,43,23,9,39,22,44,38,27,5,137,210,7.66,,
Cob magnet,15307,b,Black RING magnet,304,95,,,,,,0,72,,26,5,6,0,0,3,13,0,0,0,16,3,6,5,29,66,11.38,,
Cob magnet,15305,G,Gold CONE magnet,"1,763",248,,200,50,450,,700,375,,36,72,12,24,48,30,38,7,59,2,12,35,24,5,118,830,35.17,,
Cob magnet,15308,g,Gold RING magnet,628,146,,,,,,0,23,8,1,0,1,9,4,5,1,2,0,0,0,0,1,5,3,143,238.33,,
COB TUBE,15302,b,COB-TUBE 8W IP54 CRI90 DIM Black,"12,084",228,,,,,,0,559,,50,74,45,42,41,73,30,14,53,24,70,43,38,5,191,37,0.97,,
COB TUBE,15301,W,COB-TUBE 8W IP54 CRI90 DIM White,"27,401",517,,680,0,1000,,"1,680","1,229",,120,205,43,46,157,157,137,76,156,30,50,52,90,6,539,"1,658",18.47,,
COSTA,15450,W,COSTA 30W 40cm WHITE,"9,462",83,,,,,,0,8,,0,0,,0,0,0,0,0,0,0,4,4,1,5,4,79,98.75,,
COSTA,15452,WG,COSTA 30W 40cm GOLD,"10,353",87,,,,,,0,7,,0,0,,0,0,0,0,0,0,0,3,4,1,5,3,84,140,,
COSTA,15453,W,COSTA 60W 60cm WHITE,"14,424",77,,,10,,,10,10,,0,0,,0,0,0,0,0,0,0,2,8,0,5,2,85,212.5,,
COSTA,15455,WG,COSTA 60W 60cm GOLD,"15,405",79,,,10,,,10,10,,0,0,,0,0,0,0,0,0,0,2,8,0,5,2,87,217.5,,
COSTA,15456,W,COSTA 100W 80cm WHITE,"19,880",70,,,20,,,20,4,,0,0,,0,0,0,0,0,0,0,2,2,0,5,2,88,220,,
COSTA,15458,WG,COSTA 100W 80cm GOLD,"7,350",25,,,66,,,66,6,,0,0,,0,0,0,0,0,0,0,2,4,0,5,2,89,222.5,,
COSTA,15451,B,COSTA 30W 40cm BLACK,"10,374",91,,,,,,0,5,,0,0,,0,0,0,0,0,0,0,0,5,0,5,0,91,#DIV/0!,,
COSTA,15454,B,COSTA 60W 60cm BLACK,"15,735",84,,,10,,,10,1,,0,0,,0,0,0,0,0,0,0,0,1,0,5,0,94,#DIV/0!,,
COSTA,15457,B,COSTA 100W 80cm BLACK,"21,868",77,,,20,,,20,0,,0,0,,0,0,0,0,0,0,0,0,0,0,5,0,97,#DIV/0!,,
Deep SMD,15084,b,Deep SMD 15W C-LIGHT CRI90 Bridgelux IP54 ???? ??,-956,-19,,,,200,,200,920,,228,84,35,50,104,5,103,81,66,74,3,87,65,6,392,-211,-3.23,"$1,168",
Deep SMD,15087,b,Deep SMD 20W C-LIGHT CRI90 Bridgelux IP54 ???? ??,"12,293",190,,,,,,0,496,,84,42,75,1,47,54,38,27,69,34,11,14,36,5,179,11,0.31,,
Deep SMD,15080,w,Deep SMD 10W C-LIGHT CRI90 Bridgelux IP54 ??? ??,108,3,52,,1000,,,"1,000","1,581",,166,76,198,27,178,4,175,240,126,172,16,203,146,6,875,76,0.52,,
Deep SMD,15081,b,Deep SMD 10W C-LIGHT CRI90 Bridgelux IP54 ???? ??,"9,180",255,,,,300,,300,857,,138,57,71,17,101,49,60,149,61,90,12,52,74,6,446,109,1.46,"$3,174",
Deep SMD,15086,w,Deep SMD 20W C-LIGHT CRI90 Bridgelux IP54 ??? ??,"15,552",243,,,300,,,300,773,,48,53,114,69,38,58,79,137,57,19,69,32,72,6,433,110,1.52,,
Deep SMD,15083,w,Deep SMD 15W C-LIGHT CRI90 Bridgelux IP54 ??? ??,"3,622",72,40,,1000,,,"1,000","1,210",,145,105,33,48,168,89,102,270,87,55,-5,113,102,6,611,421,4.14,,
Deep SMD,15088,g,Deep SMD 20W C-LIGHT CRI90 Bridgelux IP54 ??? ?????,"3,370",52,,,,,,0,53,,5,5,5,1,1,6,2,8,7,0,11,2,6,5,28,24,4.29,,
Deep SMD,15085,g,Deep SMD 15W C-LIGHT CRI90 Bridgelux IP54 ??? ?????,"5,940",108,,,,,,0,100,,5,36,-1,0,6,14,1,18,11,0,0,10,6,5,30,78,13,,
Deep SMD,15082,g,Deep SMD 10W C-LIGHT CRI90 Bridgelux IP54 ??? ?????,"13,612",332,,,,,,0,60,,11,8,16,0,4,4,1,0,12,-3,3,4,3,5,13,319,122.69,,
JIMI,15907,B, 6W JIMI Small Black,"6,848",107,,,,,,0,121,,11,20,9,4,15,12,6,11,20,6,0,7,9,5,43,64,7.44,,
JIMI,15906,W, 6W JIMI Small Whitepp,"13,248",207,,,,,,0,35,,0,0,0,0,0,2,18,4,2,0,9,0,7,5,33,174,26.36,,
JIMI,15915,B,40W JIMI Big x5 Black DIM,"11,296",32,,,,,,0,11,,2,2,2,0,0,0,-1,0,4,0,2,0,1,5,5,27,27,,
JIMI,15916,G, 40W JIMI Big x5 Gold DIM,"8,970",23,,,,,,0,17,,0,0,0,0,0,15,1,0,0,1,0,0,0,5,2,21,52.5,,
JIMI,15908,G, 6W JIMI Small Gold,"19,182",278,,,,,,0,53,,3,0,6,0,9,13,6,8,3,2,3,0,4,5,22,256,58.18,,
JIMI,15913,B, 50W JIMI S x12 Black DIM,"6,929",13,,,,,,0,2,,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,12,60,,
JIMI,15914,G, 50W JIMI S x12 Gold DIM,"21,348",36,,,,,,0,7,,3,0,0,0,2,0,0,0,1,0,1,0,0,5,2,34,85,,
JIMI,15911,G, 8W JIMI Big Gold,"28,640",358,,,,,,0,50,,23,1,0,2,4,3,0,2,2,6,2,5,2,5,12,346,144.17,,
JIMI,15910,B,8W JIMI Big Black,"13,690",185,,,,,,0,52,,10,2,3,7,16,5,-4,0,2,6,2,3,1,5,6,179,149.17,,
JIMI,15387,,Acrilic Jimi part big,"2,308",923,,,,,,0,54,,22,10,3,0,2,0,0,2,10,5,0,0,3,5,17,906,266.47,,
JIMI,15909,W,8W JIMI Big White,"15,170",205,,,,,,0,10,,1,4,0,0,1,1,0,0,2,1,0,0,1,5,3,202,336.67,,
JIMI,15386,,Acrilic Jimi part small,"2,215",886,,,,,,0,78,,33,10,6,0,5,12,0,0,4,0,8,0,2,5,12,874,364.17,,
JIMI,15912,W, 50W  JIMI S x12 White DIM,"10,660",20,,,,,,0,15,,0,1,0,0,0,14,0,0,0,0,0,0,0,5,0,20,#DIV/0!,,
JIMI,15917,W, 40W JIMI Big x5 white DIM,"8,119",23,,,,,,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,23,#DIV/0!,,
MINI B,15027,W,???? 8W MINI B ??? C-light,"6,450",215,,,1000,1000,,"2,000","1,948",,220,201,79,0,156,183,485,62,217,18,245,82,205,6,"1,232",983,4.78,"$11,820",
MINI B,150277,b,???? 8W MINI B ???? C-light,"4,110",137,,,,,300,300,263,,9,6,25,5,2,3,49,69,33,22,9,31,36,5,182,255,7.01,,
MINI C,15028,w,???? 12W MINI C ??? C-light-,"30,229",117,,,,400,,400,"1,265",,232,82,127,215,185,60,73,49,119,7,9,107,51,6,308,209,4.06,$660,
MINI C,150288,b,???? 12W MINI C ???? C-light,"3,404",92,,,,,300,300,129,,20,49,0,0,8,9,1,26,15,-5,0,6,7,5,37,355,47.97,,
SELINE,15007,W,???? 10W SELINE ??? C-light,-42,-2,74,,1000,,,"1,000","1,426",,155,202,161,-9,68,85,222,77,212,55,46,152,122,6,734,190,1.55,,
SELINE,15008,w,???? 16W SELINE ??? C-light,"6,263",189,,,,,150,150,381,,63,86,56,0,7,3,25,22,60,6,24,29,27,5,137,202,7.37,,
SELINE,150077,b,???? 10W SELINE ???? C-light,"1,890",90,,,150,,300,450,337,,14,17,43,0,26,2,24,77,32,43,36,23,42,5,212,328,7.74,,
SELINE,150088,B,????  16W SELINE  ???? C-light,"7,191",217,,,,,,0,145,,1,44,2,27,6,0,22,10,14,0,1,18,9,5,47,170,18.09,,
SELINE,150099,b,???? 24W SELINE ???? C-light,"2,734",63,,,,,,0,64,,24,-4,0,0,2,27,11,0,1,1,0,2,3,5,13,50,19.23,,
SELINE,15009,w,???? 24W SELINE ??? C-light,"29,816",687,,,,,,0,197,,21,10,32,10,7,9,19,17,12,9,32,19,18,5,89,598,33.6,,
STEPS,15061,w,???? Mini Drop 4W Clight ???+ ?????? ?????,28,1,112,400,,500,,900,919,,119,82,68,21,97,125,121,62,39,10,119,56,70,5,351,438,6.24,$0,$0
STEPS,15062,w,???? Mini Square 4W Clight ??? + ?????? ?????,"1,876",67,,200,,,,200,268,,27,10,13,18,38,33,44,3,8,36,24,14,23,5,115,152,6.61,,
STEPS,15060,w,???? Mini Line 4W Clight ??? + ?????? ?????,224,8,22,500,,300,,800,732,,28,20,53,68,75,113,137,20,70,21,65,62,63,5,313,473,7.56,"$63,000",
STEPS,150611,B,???? Mini Drop 4W Clight ???? + ?????? ?????,"3,304",118,,,,,,0,193,,2,27,34,-7,40,27,34,-1,0,0,5,32,8,5,38,80,10.53,,
STEPS,150622,B,???? Mini Square 4W Clight ???? + ?????? ?????,112,4,,,100,,,100,67,,4,0,1,26,6,0,0,23,7,0,0,0,6,5,30,74,12.33,,
STEPS,150600,B,???? Mini Line 4W Clight ???? + ?????? ?????,"1,288",46,,200,,,,200,138,,10,0,4,5,21,10,11,15,0,4,32,26,12,5,62,184,14.84,,
TORRES,15037,w,???? C-light 7W TORRES WHITE,"3,045",87,,,,100,,100,159,,1,24,2,6,10,12,44,34,2,7,5,12,18,5,92,95,5.16,$0,
TORRES,15039,G,???? C-light 7W TORRES ???,0,0,,,150,,200,350,198,,18,7,4,6,0,11,7,3,0,131,3,8,29,5,144,206,7.15,,
TORRES,15040,w,TORRES SURFACE WHITE 7W,"2,124",59,,,,,150,150,120,,13,14,5,0,15,6,9,12,32,10,4,0,13,5,67,142,10.6,,
TORRES,15038,b,???? C-light 7W TORRES ????,"6,265",179,,,,,,0,152,,26,39,29,1,1,6,17,12,4,12,1,4,9,5,46,133,14.46,,
TORRES,15041,B,TORRES SURFACE BLACK 7W,"9,954",158,,,,,,0,54,,2,9,4,0,0,2,19,10,4,1,3,0,7,5,37,121,16.35,,
TORRES,15394,G,TORRES SURFACE GOLD 7W,"1,830",50,,,,,,0,2,,,0,0,0,0,0,0,0,1,1,0,0,0,5,2,48,120,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"1,653",,,,,,,
