,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
15001,21,15,15,16,17,17,20,19,19,20,21,21
15002,24,18,22,26,32,27,25,26,29,31,31,30
15003,11,10,10,11,12,13,15,15,16,17,17,18
15004,164,137,143,128,135,146,170,165,166,167,173,178
15005,39,43,46,51,32,32,52,53,53,52,49,58
15006,14,17,20,15,16,16,19,20,20,20,21,21
15007,169,146,156,129,152,175,175,172,173,174,181,184
15008,31,33,36,23,32,35,36,36,35,34,39,41
15009,19,19,19,22,25,22,22,23,24,25,26,25
15027,208,154,173,158,186,171,187,180,183,184,188,187
15028,86,80,86,55,92,123,114,115,120,126,144,152
15037,27,18,13,15,17,20,22,19,19,21,22,23
15038,15,14,13,14,13,15,18,17,17,18,19,20
15039,22,31,46,62,18,27,39,47,51,47,35,46
15040,17,18,18,14,14,16,20,20,19,19,20,21
15041,15,12,11,12,13,14,17,16,16,17,18,19
15060,97,55,75,72,97,102,110,104,119,128,139,144
15061,100,71,73,91,121,108,121,119,131,144,151,153
15062,25,18,23,28,23,22,25,25,27,27,26,27
15080,183,180,161,165,160,189,185,183,181,184,186,189
15081,116,120,87,94,89,125,141,138,134,143,152,163
15082,11,11,12,11,13,14,16,16,17,17,18,19
15083,158,157,99,101,123,160,164,157,151,161,171,178
15084,108,92,85,88,91,128,130,127,132,141,150,160
15085,13,15,12,12,14,16,17,17,17,18,19,20
15086,110,104,66,71,100,106,128,122,119,133,146,152
15087,45,43,45,28,27,38,49,46,43,39,45,54
15088,12,13,12,12,14,14,17,17,17,18,19,19
15126,49,49,73,72,87,96,83,97,112,118,127,132
15127,22,16,18,24,28,26,23,23,26,28,29,27
15301,136,116,118,85,114,134,151,146,147,150,162,169
15302,36,41,57,54,66,55,59,70,79,82,88,90
15303,103,90,86,57,80,95,122,115,114,118,135,145
15304,26,29,39,36,42,37,36,41,46,46,48,48
15305,30,25,31,19,27,33,30,29,30,29,34,35
15306,10,10,10,10,12,13,15,15,16,16,17,18
15307,12,11,12,13,15,14,16,16,17,18,19,19
15308,10,10,10,11,12,13,15,15,16,16,17,18
15386,10,11,11,12,13,13,16,16,16,17,18,18
15387,11,12,12,12,12,14,16,16,17,17,18,19
15394,10,10,10,11,12,13,15,15,16,16,17,18
15450,10,10,11,12,13,14,15,16,16,17,18,18
15451,10,10,10,11,12,14,15,16,16,17,18,18
15452,10,10,11,11,13,14,15,16,16,17,18,18
15453,10,10,11,12,13,15,15,16,16,17,18,19
15454,10,10,10,11,12,13,15,15,16,17,17,18
15455,10,10,11,12,13,15,15,16,16,17,18,19
15456,10,10,10,11,12,13,15,16,16,17,18,18
15457,10,10,10,11,12,13,15,15,16,16,17,18
15458,10,10,11,11,12,14,15,16,16,17,18,18
15906,14,11,11,12,14,14,16,16,17,17,18,19
15907,15,15,15,13,13,16,18,18,18,18,19,20
15908,12,12,11,12,12,14,16,16,16,17,18,19
15909,10,10,11,11,12,13,15,16,16,17,17,18
15910,10,11,11,12,12,14,16,16,17,17,18,19
15911,11,11,12,12,13,14,16,16,17,17,18,19
15912,10,10,10,11,12,13,15,15,16,16,17,18
15913,10,10,10,11,12,13,15,15,16,16,17,18
15914,10,10,10,11,12,13,15,15,16,17,17,18
15915,10,11,11,11,12,13,15,16,16,17,17,18
15916,10,10,10,11,12,13,15,15,16,16,17,18
15917,10,10,10,11,12,13,15,15,16,16,17,18
150011,20,14,12,12,14,16,19,17,17,18,19,20
150022,16,13,10,13,14,14,17,17,17,18,19,19
150033,14,13,10,11,12,14,17,16,16,17,18,19
150044,32,22,21,15,17,20,26,22,21,21,23,25
150055,14,11,11,11,12,14,16,16,16,17,18,19
150066,10,11,11,12,13,13,16,16,17,17,18,19
150077,52,61,42,47,47,53,68,67,62,70,77,87
150088,17,14,14,13,16,19,18,18,18,19,20,21
150099,12,10,11,11,12,14,16,16,16,17,18,18
150277,54,46,29,28,34,48,51,43,39,45,53,59
150288,15,16,12,11,13,16,18,17,17,17,19,20
150600,15,16,16,21,26,22,20,21,23,25,25,24
150611,16,11,12,15,19,22,18,18,19,21,22,22
150622,13,15,11,11,12,14,17,17,16,17,18,19
